date,month,gfk_confidence_index,source_note
2024-01-01,2024 JAN,-19,implied from Feb release
2024-02-01,2024 FEB,-21,NIQ press release
2024-03-01,2024 MAR,-21,NIQ press release
2024-04-01,2024 APR,-19,NIQ press release
2024-05-01,2024 MAY,-17,NIQ press release
2024-06-01,2024 JUN,-14,NIQ press release
2024-07-01,2024 JUL,-13,NIQ press release
2024-08-01,2024 AUG,-13,NIQ press release
2024-09-01,2024 SEP,-20,NIQ press release
2024-10-01,2024 OCT,-21,NIQ press release
2024-11-01,2024 NOV,-18,NIQ press release
2024-12-01,2024 DEC,-17,NIQ press release
2025-01-01,2025 JAN,-22,NIQ press release
2025-02-01,2025 FEB,-20,NIQ press release
2025-03-01,2025 MAR,-19,NIQ press release
2025-04-01,2025 APR,-23,NIQ press release
